gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annot
Acropora0,9320.8890077866,0.32925780975826574,0.11104605918477177,2.965056231400405,0.003026276082444676,0.018300649783384162,-
Acropora10,6013.883028071311,-0.3559240759884121,0.10794672006397882,-3.297219922730953,9.764700908703568e-4,0.00763121763994874,"oxidoreductase activity, oxidizing metal ions, oxygen as acceptor"
Acropora10000,18.640972679895377,0.8202298819349171,0.2959337205608704,2.771667521972051,0.0055769967347914775,0.029178731418924204,NA
Acropora10002,85.69634406742526,-0.8601501907811492,0.13381502654982397,-6.427904346459069,1.2937510462240785e-10,1.6791791405956407e-8,holocytochrome-c synthase activity
Acropora10004,139.41810146323726,0.2452021058865326,0.09826223217008194,2.4953850576293917,0.012582051146040203,0.05445279173265456,intraciliary transport involved in cilium assembly
Acropora10005,11.624193860994678,-0.6944228389061887,0.2808473498320772,-2.4725988666846757,0.013413460626736285,0.05714996198592396,NA
Acropora10007,15.096556317887496,0.41283818125039845,0.18830955895038096,2.1923378906069244,0.028355117722870672,0.09900302557782914,"phosphatidylinositol-3,4-bisphosphate binding"
Acropora10009,80.28135681640411,0.2523670806789835,0.1047625861124705,2.4089428301058597,0.015998803919663233,0.06514267451204414,NA
Acropora10011,71.68168385632077,0.2684567865505885,0.11871141274196076,2.261423567876532,0.023733040716898333,0.08714107891564944,biological adhesion
Acropora10012,38.573265072864515,0.38066524926562306,0.12949380338153726,2.93964065712118,0.0032859308865174986,0.019511077819701624,NA
Acropora10013,89.54406567912537,-0.9310029507395488,0.11362892644066362,-8.193362200123515,2.540282575552944e-16,1.829551358483043e-13,negative regulation of glucocorticoid receptor signaling pathway
Acropora10016,150.96719959268913,0.35847546881623793,0.08719898036744672,4.1110052813193745,3.9394018886485145e-5,6.176963371170828e-4,ATPase inhibitor activity
Acropora10017,24.35688345832566,-0.929970718282323,0.2684983943927207,-3.46359880618912,5.330008061108073e-4,0.00477736764501124,"ATPase activity, coupled to transmembrane movement of substances"
Acropora1002,468.4461085145126,0.7340551797550485,0.21394671791126227,3.431018652314682,6.013192528605818e-4,0.005230181737348338,NA
Acropora10020,49.26398220192716,-0.7377625019024804,0.1949590667703116,-3.7841918004853055,1.5420886961360972e-4,0.0018295368184035848,NA
Acropora10021,103.36506318489855,0.4533289239981915,0.13192613590081018,3.4362328654803536,5.8986373616722e-4,0.005154957148027161,nucleic acid-templated transcription
Acropora10023,193.78950529832397,0.5949286298147108,0.13660823847217873,4.3549981792340615,1.3306802417161773e-5,2.583362365670027e-4,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Acropora10026,22.190257508048056,-0.38485503689038103,0.165781878763579,-2.321454188845462,0.020262343825292718,0.07768853351219487,NA
Acropora10027,203.33683308927155,0.34649830105393636,0.14837091681196538,2.3353518903779733,0.01952504548038911,0.07568324668005197,NA
Acropora1003,110.20349032114889,1.0461836455730313,0.21996743468389057,4.756084222541734,1.973841473529306e-6,5.5175929348709994e-5,Low-potential cytochrome c that plays a role in the oxygen-evolving complex of photosystem II
Acropora10031,347.9367613750398,0.3556737363747701,0.12517965581753768,2.8413062334442065,0.004492914583335076,0.024842955071405323,Talin 2a
Acropora10034,184.81306637939943,-0.5751683834545527,0.1304300758332854,-4.409783401412171,1.0347406232321967e-5,2.12211378179463e-4,ABC-2 type transporter
Acropora10036,192.14477412922415,0.7401273201250537,0.07582577318907115,9.760893809543495,1.6568843452864395e-22,3.803688680419763e-19,NA
Acropora10038,30.318419277850232,1.2035265350459992,0.25658154245271236,4.690620079454107,2.723783191068135e-6,7.171848056711374e-5,NA
Acropora10045,60.66480024222656,0.4950770263352839,0.16629166301729778,2.97716083507918,0.0029093134381605974,0.01780619203366649,dosage compensation by inactivation of X chromosome
Acropora1005,320.4694631128815,-0.23213491374279538,0.08135899408498862,-2.8532175987857515,0.004327897542716708,0.024126271762259434,Rho (Ras homology) subfamily of Ras-like small GTPases
Acropora10052,38.456592408082564,0.6317003208024561,0.2359051284557513,2.6777727340545887,0.007411348675023876,0.036480075948414736,NA
Acropora10053,2.847052435331191,1.0012470862367397,0.4208759781108354,2.3789599271761404,0.01736156324224545,0.06927838994578138,NA
Acropora10055,126.51068980921399,0.3584685457686042,0.09209551193189884,3.8923562967289675,9.927530398797729e-5,0.0012885092546934254,NA
Acropora1006,35.634870604655795,2.027338531544871,0.41225474314998767,4.9176839447721745,8.757415338104072e-7,2.8927034423012647e-5,Sterile alpha motif domain containing 11
Acropora10066,72.11878087903253,-0.9875589292598188,0.1902394879891962,-5.191135340502508,2.0901561982920835e-7,9.058334372410238e-6,NA
Acropora1007,294.18747808743007,-0.7682589494782291,0.14941648483374606,-5.141728172316874,2.7222278410050043e-7,1.1134760671264457e-5,NA
Acropora10077,142.41957803775458,-0.2960927376929084,0.11222864663631367,-2.6382991024780127,0.008332305407869627,0.03991313379453042,NA
Acropora10079,11.351334010216936,1.5887260406181534,0.5326506726472768,2.9826791219884807,0.0028573739238710472,0.017565556752754383,NA
Acropora10080,88.85004006366198,-0.6434303913763738,0.21382150475420605,-3.009194010284492,0.0026194178761948924,0.01635733390182159,NA
Acropora10083,109.16213529534203,-0.5000858065122633,0.13469208480408384,-3.7128076771523904,2.0497264642664194e-4,0.002278807322059679,NA
Acropora10092,46.7039447001529,-0.4150350763635846,0.12310587087110841,-3.3713670471339703,7.479613144983388e-4,0.0062030632293606875,NA
Acropora10093,65.67425446571298,0.8761512276196107,0.24610170352317914,3.5601185001025004,3.706874807800396e-4,0.0036058585425136746,Aconitate B N-terminal domain
Acropora1010,363.6710455449179,0.5763769477289037,0.0892377588382368,6.458890891396259,1.0547312000935335e-10,1.4222602334707893e-8,X-box binding protein 1
Acropora10102,95.62297027356736,0.40983188951863214,0.10014604752682164,4.092342130715331,4.2703796466340926e-5,6.610000623704882e-4,cell migration
Acropora10104,90.62389713637187,-0.3833305054432989,0.11964932458399988,-3.2037832789785745,0.001356345334171517,0.009930221341330274,methyltransferase
Acropora10105,362.55266346728496,0.4230658979401438,0.17354553050530255,2.4377804297715255,0.014777747064265647,0.06130578579371374,actin binding
Acropora10107,256.87114679365794,-0.1713392883288446,0.07419055181633066,-2.309448900623081,0.02091868414000845,0.07954080612284165,NA
Acropora10108,35.3912119750648,-4.937026657135041,1.290675940578894,-3.8251481273608356,1.306934810702427e-4,0.001603909874103269,NA
Acropora1011,403.41834210198454,-0.5101308089263527,0.10646417268170452,-4.7915725645235465,1.6547914916067036e-6,4.808714104288436e-5,"Myosin, light"
Acropora10111,189.18953028926322,0.6426538074033092,0.15173423195781094,4.235391045983588,2.281543096969859e-5,3.9492629356644625e-4,Belongs to the peptidase C14A family
Acropora10112,13.453881962997885,-1.5663060093085328,0.30064766766826934,-5.2097726932536,1.890721272649295e-7,8.37733209477458e-6,NA
Acropora10114,48.246967770188945,-0.6074216303478928,0.13551578188227795,-4.482294400777303,7.384477464497412e-6,1.5899134920776932e-4,peroxisome matrix targeting signal-1 binding
Acropora10115,15.238614730997705,-0.8403147420474024,0.21955664574426104,-3.8273254685544735,1.2954317609832803e-4,0.0015924532802100693,negative regulation of cell growth
Acropora10117,49.227612564755404,-0.3930570977168683,0.13998773243014187,-2.807796732567375,0.004988170105486979,0.026873053115963948,voltage-gated anion channel activity
Acropora10118,136.35063746220425,1.3504270378920777,0.24630442738775846,5.4827558408687995,4.187507730376659e-8,2.426046473887462e-6,NA
Acropora10119,105.70967314388812,-0.26102437705031134,0.1187545586953922,-2.198015637613071,0.027947991591267127,0.09800073309201268,NA
Acropora10123,71.49689267636093,-0.4956149546242693,0.14890758997809725,-3.3283391041193338,8.736545324571695e-4,0.0069882849807674854,NA
Acropora10126,55.33057111881195,-0.362673491387386,0.10959961205283988,-3.3090764154578833,9.360428559441405e-4,0.00739393336380306,N-glycan processing to lysosome
Acropora10129,7.529346854011643,1.144798650793019,0.37214526731100156,3.07621445535222,0.002096469986340787,0.013852390550149926,NA
Acropora1013,524.339743275824,0.4146068648003501,0.15745875586253288,2.633114065516412,0.008460592795082933,0.04040216469413299,NA
Acropora10130,133.7401827184895,0.3288049285192998,0.1047014398707635,3.1404050309638034,0.00168714399031793,0.011723512279297747,guanylate cyclase activity
Acropora10139,35.1603372634785,-0.8319759026927674,0.230869567798367,-3.6036620617724058,3.137649572182113e-4,0.003152325121329901,NA
Acropora1014,200.11967663111463,-0.3631531468229301,0.14551336316687585,-2.495668706429823,0.012571995660503623,0.05443616322126118,NA
Acropora10147,36.76426569271292,0.43438735026303993,0.18093055863547558,2.400851207994161,0.016356985963427197,0.06622668115328971,NA
Acropora10148,45.824996034136916,-0.8233401579311972,0.16258061396132045,-5.064196387689113,4.1012669169543416e-7,1.5466492312797734e-5,NA
