gene,KOG
Pseudodiploria165214,NA
Pseudodiploria166380,NA
Pseudodiploria166895,NA
Pseudodiploria167956,NA
Pseudodiploria168212,NA
Pseudodiploria168214,NA
Pseudodiploria168268,NA
Pseudodiploria168859,NA
Pseudodiploria169864,NA
Pseudodiploria170431,NA
Pseudodiploria170580,Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine
Pseudodiploria171308,NA
Pseudodiploria172026,NA
Pseudodiploria172040,neurogenic locus notch homolog protein
Pseudodiploria172053,NA
Pseudodiploria172972,positive regulation of epithelial to mesenchymal transition
Pseudodiploria173517,NA
Pseudodiploria173531,thick ascending limb development
Pseudodiploria173929,purine-rich negative regulatory element binding
Pseudodiploria174573,NA
Pseudodiploria174658,NA
Pseudodiploria174822,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Pseudodiploria175640,Belongs to the AAA ATPase family
Pseudodiploria176070,nucleoside phosphate binding
Pseudodiploria176147,NA
Pseudodiploria177792,structural constituent of cuticle
Pseudodiploria178572,cysteine and glycine-rich protein
Pseudodiploria178698,NA
Pseudodiploria178819,cysteine-rich protein 1
Pseudodiploria180123,NA
Pseudodiploria180129,NA
Pseudodiploria181566,Nodal homolog
Pseudodiploria181673,-
Pseudodiploria182128,NA
Pseudodiploria182897,X-box binding protein 1
Pseudodiploria183218,NA
Pseudodiploria183341,positive regulation of TOR signaling
Pseudodiploria184061,"BCCT, betaine/carnitine/choline family transporter"
Pseudodiploria184094,NA
Pseudodiploria184239,NA
Pseudodiploria184632,glycoside hydrolase family 63
Pseudodiploria184779,NA
Pseudodiploria185005,NA
Pseudodiploria185010,NA
Pseudodiploria185156,NA
Pseudodiploria185324,Belongs to the multicopper oxidase family
Pseudodiploria185492,G-protein coupled receptor activity
Pseudodiploria186161,Epididymal sperm-binding protein 1
Pseudodiploria186455,FAD binding domain of DNA photolyase
Pseudodiploria186761,"Essential component of the vacuolar proton pump (V- ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase"
Pseudodiploria186793,7 transmembrane receptor (rhodopsin family)
Pseudodiploria187295,NA
Pseudodiploria187669,NA
Pseudodiploria188741,NA
Pseudodiploria188760,steroid binding
Pseudodiploria188867,U3 small nucleolar ribonucleoprotein
Pseudodiploria188931,NA
Pseudodiploria189123,NA
Pseudodiploria189686,NA
Pseudodiploria190647,NA
Pseudodiploria190674,nucleosome assembly
Pseudodiploria190765,NA
Pseudodiploria190873,Collagen triple helix
Pseudodiploria190913,NA
Pseudodiploria191188,structural constituent of cuticle
Pseudodiploria191274,Cysteine-rich with EGF-like
Pseudodiploria191340,NA
Pseudodiploria191458,thiol-dependent ubiquitin-specific protease activity
Pseudodiploria191484,NA
Pseudodiploria191546,NA
Pseudodiploria191664,NA
Pseudodiploria191982,"Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"
Pseudodiploria192089,NA
Pseudodiploria192255,NA
Pseudodiploria192457,NA
Pseudodiploria192756,NA
Pseudodiploria192824,DBH-like monooxygenase protein 1
Pseudodiploria192866,NA
Pseudodiploria193003,NA
Pseudodiploria193043,NA
Pseudodiploria193157,guanyl-nucleotide exchange factor activity
Pseudodiploria193327,NA
Pseudodiploria193732,NA
Pseudodiploria193764,Belongs to the ATG8 family
Pseudodiploria194150,NA
Pseudodiploria194189,RNA splicing
Pseudodiploria194998,protein-disulfide reductase activity
Pseudodiploria195392,NA
Pseudodiploria195732,rescue of stalled ribosome
Pseudodiploria195828,26s proteasome non-ATPase regulatory subunit
Pseudodiploria195860,protein disulfide isomerase activity
Pseudodiploria196099,Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
Pseudodiploria196315,positive regulation of DNA demethylation
Pseudodiploria196411,Collagen triple helix
Pseudodiploria196540,Collagen triple helix
Pseudodiploria196781,RNA splicing
Pseudodiploria197058,NA
Pseudodiploria197101,X-ray repair cross-complementing protein 5
Pseudodiploria197566,NA
Pseudodiploria197583,NA
Pseudodiploria197663,RNA-directed 5'-3' RNA polymerase activity
Pseudodiploria198114,Wiskott-Aldrich syndrome protein family member
Pseudodiploria198134,NA
Pseudodiploria198292,NA
Pseudodiploria198757,sterol response element binding
Pseudodiploria199197,transmembrane transport
Pseudodiploria199221,NA
Pseudodiploria199236,Methyltransferase like 22
Pseudodiploria199269,NA
Pseudodiploria199404,Sulfatase-modifying factor enzyme 1
Pseudodiploria199449,CNDP dipeptidase 2 (metallopeptidase M20 family)
Pseudodiploria199807,deadenylation-dependent decapping of nuclear-transcribed mRNA
Pseudodiploria199968,NA
Pseudodiploria200018,"negative regulation of DNA damage response, signal transduction by p53 class mediator"
