gene,annot
Pseudodiploria166067,structural constituent of ribosome
Pseudodiploria170128,NA
Pseudodiploria172199,NA
Pseudodiploria173071,NA
Pseudodiploria173592,protein heterodimerization activity
Pseudodiploria174030,NA
Pseudodiploria174955,NA
Pseudodiploria175067,-
Pseudodiploria176490,NA
Pseudodiploria177409,structural constituent of cuticle
Pseudodiploria177825,"Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein."
Pseudodiploria178113,Oxidoreductase NAD-binding
Pseudodiploria178945,NA
Pseudodiploria179187,NA
Pseudodiploria179414,NA
Pseudodiploria179579,histone H2A K63-linked deubiquitination
Pseudodiploria180127,"Cytosol aminopeptidase family, catalytic domain"
Pseudodiploria180345,G-protein coupled receptor activity
Pseudodiploria180839,NA
Pseudodiploria181945,Si dkey-256h2.1
Pseudodiploria182481,Thioredoxin-like domain
Pseudodiploria182501,NA
Pseudodiploria183459,NA
Pseudodiploria183507,NA
Pseudodiploria183545,NA
Pseudodiploria185214,NA
Pseudodiploria186456,Transmembrane protein 98
Pseudodiploria186606,major facilitator superfamily
Pseudodiploria186724,D-serine biosynthetic process
Pseudodiploria187536,NA
Pseudodiploria188255,NA
Pseudodiploria188328,ThiF family
Pseudodiploria188626,NA
Pseudodiploria188951,NA
Pseudodiploria190079,protein delipidation
Pseudodiploria190239,S-adenosylhomocysteine catabolic process
Pseudodiploria190250,NA
Pseudodiploria190386,Green fluorescent protein
Pseudodiploria190775,microtubule associated serine threonine
Pseudodiploria191545,NA
Pseudodiploria191893,NA
Pseudodiploria191956,NA
Pseudodiploria192334,Green fluorescent protein
Pseudodiploria192703,NA
Pseudodiploria192713,NA
Pseudodiploria193207,NA
Pseudodiploria193376,NA
Pseudodiploria193911,Transmembrane amino acid transporter protein
Pseudodiploria193964,Belongs to the protein kinase superfamily
Pseudodiploria194293,NA
Pseudodiploria195044,maturation of 5.8S rRNA
Pseudodiploria195168,NA
Pseudodiploria195949,NA
Pseudodiploria196053,abhydrolase domain-containing protein
Pseudodiploria196291,Eukaryotic translation elongation factor 1 gamma
Pseudodiploria196595,FAM124 family
Pseudodiploria197325,Thrombospondin type 1 repeats
Pseudodiploria197613,NA
Pseudodiploria198354,NA
Pseudodiploria198508,NA
Pseudodiploria199164,transmembrane protein 127
Pseudodiploria199219,"Tyrosine kinase, catalytic domain"
Pseudodiploria199758,dual serine threonine and tyrosine protein
Pseudodiploria199777,NA
Pseudodiploria200923,NA
Pseudodiploria201099,Major Facilitator Superfamily
Pseudodiploria202195,NA
Pseudodiploria202340,adenylate cyclase-activating adrenergic receptor signaling pathway involved in positive regulation of heart rate
Pseudodiploria202435,NA
Pseudodiploria202763,NA
Pseudodiploria203024,rho guanine nucleotide exchange factor
Pseudodiploria203132,neurotransmitter:sodium symporter activity
Pseudodiploria203187,NA
Pseudodiploria203200,NA
Pseudodiploria203508,Belongs to the STXBP unc-18 SEC1 family
Pseudodiploria203590,hydrolase activity
Pseudodiploria203722,MCM3 minichromosome maintenance deficient 3 (S. cerevisiae) associated protein
Pseudodiploria204044,NA
Pseudodiploria204150,regulation of mitotic cell cycle
Pseudodiploria204376,nonsense mediated mRNA decay factor
Pseudodiploria204446,Reverse transcriptase (RNA-dependent DNA polymerase)
Pseudodiploria204556,NA
Pseudodiploria205001,NA
Pseudodiploria205293,procollagen-proline 4-dioxygenase activity
Pseudodiploria205513,ranBP-type and C3HC4-type zinc finger-containing protein
Pseudodiploria6026,NA
Pseudodiploria63717,NA
Pseudodiploria67436,NA
Pseudodiploria93819,NA
