gene,KOG
Acropora_000030,3-hydroxy-3-methylglutaryl-coenzyme A reductase
Acropora_000146,NA
Acropora_000151,Tektin family
Acropora_000152,NA
Acropora_000184,Cytochrome c oxidase subunit Va
Acropora_000242,lymphoid tissue lymphoma translocation
Acropora_000263,Stimulated by retinoic acid gene 6 protein homolog
Acropora_000315,NA
Acropora_000331,protein auto-ADP-ribosylation
Acropora_000501,Homer protein homolog
Acropora_000509,protein disulfide isomerase activity
Acropora_000511,NA
Acropora_000519,NA
Acropora_000629,negative regulation of negative chemotaxis
Acropora_000719,NA
Acropora_000764,NA
Acropora_000851,Myb/SANT-like DNA-binding domain
Acropora_000962,NA
Acropora_001182,NA
Acropora_001254,synaptic vesicle cytoskeletal transport
Acropora_001296,cell surface receptor signaling pathway
Acropora_001323,phosphatidylserine metabolic process
Acropora_001502,NA
Acropora_001581,NA
Acropora_001602,Belongs to the heat shock protein 70 family
Acropora_001793,It is involved in the biological process described with
Acropora_001853,NA
Acropora_002034,Calcium-binding protein
Acropora_002118,sequence-specific DNA binding
Acropora_002137,threonine-type endopeptidase activity
Acropora_002140,DNA polymerase epsilon subunit 3
Acropora_002205,Heme binding protein 2
Acropora_002470,positive regulation of presynaptic membrane organization
Acropora_002518,Trypsin-like serine protease
Acropora_002614,SNAP receptor activity
Acropora_002620,Dienelactone hydrolase family
Acropora_002679,NA
Acropora_002712,NA
Acropora_002796,Rho guanine nucleotide exchange factor
Acropora_003330,NA
Acropora_003418,adenylate cyclase-activating G-protein coupled receptor signaling pathway
Acropora_003465,negative regulation of renal output by angiotensin
Acropora_003492,Cystatin-like domain
Acropora_003575,G-protein beta/gamma-subunit complex binding
Acropora_003640,calretinin
Acropora_003641,NA
Acropora_003708,protein monoubiquitination
Acropora_003727,NA
Acropora_003774,NA
Acropora_003940,NA
Acropora_004221,syndrome nuclear autoantigen 1
Acropora_004370,heat shock protein binding
Acropora_004458,antigen processing and presentation of exogenous peptide antigen via MHC class I
