gene,KOG
Acropora_000012,Snurportin1
Acropora_000020,protein targeting to mitochondrion
Acropora_000023,RNA polymerase II CTD heptapeptide repeat kinase activity
Acropora_000036,intermembrane sphingolipid transfer activity
Acropora_000068,NA
Acropora_000079,major facilitator superfamily
Acropora_000081,NA
Acropora_000094,"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity"
Acropora_000096,NA
Acropora_000110,NA
Acropora_000114,NA
Acropora_000132,NA
Acropora_000135,NA
Acropora_000153,NA
Acropora_000182,"PYM homolog 1, exon junction complex associated factor"
Acropora_000183,NA
Acropora_000190,NA
Acropora_000192,NA
Acropora_000199,NA
Acropora_000203,isocitrate dehydrogenase NAD subunit
Acropora_000205,NA
Acropora_000218,May antagonize Nodal signaling and subsequent organization of axial structures during mesodermal patterning
Acropora_000226,NA
Acropora_000231,NA
Acropora_000240,nucleosome assembly
Acropora_000241,Caspase domain
Acropora_000248,Thioredoxin-like domain
Acropora_000252,regulation of cell shape
Acropora_000254,NA
Acropora_000255,NA
Acropora_000259,tubulin polyglutamylase complex subunit
Acropora_000262,Failed axon connections homolog
Acropora_000277,NA
Acropora_000302,Domain of unknown function (DUF4558)
Acropora_000308,Conserved mid region of cactin
Acropora_000313,acetylcholine-gated cation-selective channel activity
Acropora_000323,transitional stage B cell differentiation
Acropora_000327,NA
Acropora_000335,NA
Acropora_000341,Exocyst complex component 5
Acropora_000342,Chloride channel protein
Acropora_000347,"coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway"
Acropora_000374,asparagine-tRNA ligase activity
Acropora_000375,DNA polymerase
Acropora_000379,DDB1 and CUL4 associated factor 12
Acropora_000392,factor 13
Acropora_000421,cyclin A-associated protein in the
Acropora_000422,Insulin gene enhancer protein
Acropora_000443,Transposase IS4
Acropora_000496,NA
Acropora_000500,phosphatidylinositol-4-phosphate binding
Acropora_000508,aryl hydrocarbon receptor binding
Acropora_000513,DBH-like monooxygenase protein 1
Acropora_000516,"intramolecular oxidoreductase activity, transposing S-S bonds"
Acropora_000534,protein tyrosine phosphatase activity
Acropora_000536,"Sushi, nidogen and EGF-like"
Acropora_000541,Coiled-coil domain containing 115
Acropora_000551,NA
Acropora_000566,NA
Acropora_000570,positive regulation of transcription by RNA polymerase II
Acropora_000601,NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit 9
Acropora_000615,maintenance of mitotic sister chromatid cohesion
Acropora_000627,NA
Acropora_000651,betaine-homocysteine S-methyltransferase activity
Acropora_000664,ligand-gated sodium channel activity
Acropora_000686,NA
Acropora_000689,RNA lariat debranching enzyme activity
Acropora_000692,"oxidoreductase activity, acting on NAD(P)H"
Acropora_000716,phosphorylase kinase regulator activity
Acropora_000717,NA
Acropora_000728,NA
Acropora_000732,NA
Acropora_000750,negative regulation of smooth muscle cell differentiation
Acropora_000753,negative regulation of smooth muscle cell differentiation
Acropora_000756,NA
Acropora_000765,NA
Acropora_000781,voltage-gated sodium channel activity
Acropora_000784,"Catalytic subunit of the molybdopterin synthase complex, a complex that catalyzes the conversion of precursor Z into molybdopterin. Acts by mediating the incorporation of 2 sulfur atoms from thiocarboxylated MOCS2A into precursor Z to generate a dithiolene group"
Acropora_000799,maturation of 5.8S rRNA
Acropora_000800,glycosyl transferase
Acropora_000804,NA
Acropora_000834,sequence
Acropora_000867,methylation-dependent chromatin silencing
Acropora_000873,Integrase core domain
Acropora_000879,sequence-specific DNA binding
Acropora_000889,NA
Acropora_000942,NA
Acropora_000970,NA
Acropora_000989,Myb/SANT-like DNA-binding domain
Acropora_001000,calcium ion binding
Acropora_001043,NA
Acropora_001087,NA
Acropora_001102,NA
Acropora_001111,positive regulation of rRNA processing
Acropora_001114,ATP-dependent RNA helicase DDX59
Acropora_001119,negative regulation of store-operated calcium channel activity
Acropora_001124,ubiquitin-dependent endocytosis
Acropora_001130,"solute carrier family 30 (zinc transporter), member"
Acropora_001140,NA
Acropora_001148,positive regulation of AMPA glutamate receptor clustering
Acropora_001150,"Transducer of regulated CREB activity, N terminus"
Acropora_001158,malectin
Acropora_001176,Leucine-rich repeat
Acropora_001180,NA
Acropora_001220,NA
Acropora_001252,metal ion binding
Acropora_001259,ubiE/COQ5 methyltransferase family
Acropora_001260,NA
Acropora_001278,NA
Acropora_001298,"ATP-dependent serine protease that mediates the selective degradation of misfolded, unassembled or oxidatively damaged polypeptides as well as certain short-lived regulatory proteins in the mitochondrial matrix. May also have a chaperone function in the assembly of inner membrane protein complexes. Participates in the regulation of mitochondrial gene expression and in the maintenance of the integrity of the mitochondrial genome. Binds to mitochondrial"
Acropora_001304,NA
Acropora_001312,axonogenesis involved in innervation
Acropora_001313,carbohydrate binding
Acropora_001320,Myosin. Large ATPases.
Acropora_001322,Receptor expression-enhancing protein
Acropora_001331,NA
Acropora_001337,G-protein coupled receptor activity
Acropora_001377,NA
Acropora_001378,calcium-dependent cysteine-type endopeptidase activity
Acropora_001436,NA
Acropora_001437,GTP binding
Acropora_001462,NA
Acropora_001507,NA
Acropora_001511,Milk fat globule-EGF factor 8 protein
Acropora_001522,NA
Acropora_001532,high mobility group
Acropora_001572,NA
Acropora_001580,NA
Acropora_001603,Ring finger and WD repeat domain 2
Acropora_001607,Belongs to the PI3 PI4-kinase family
Acropora_001609,Pleckstrin homology domain.
Acropora_001613,zinc ion binding
Acropora_001630,Katanin p60 ATPase-containing subunit A-like
Acropora_001632,NA
Acropora_001663,NA
Acropora_001666,"Deafness, autosomal recessive"
Acropora_001690,NA
Acropora_001694,regulation of mitotic cell cycle
Acropora_001700,NA
Acropora_001708,NA
Acropora_001731,metalloendopeptidase activity
Acropora_001734,NA
Acropora_001748,RNA splicing
Acropora_001753,digestion
Acropora_001763,NA
Acropora_001766,TCDD-inducible
Acropora_001776,NA
Acropora_001788,NA
Acropora_001805,peptide-O-fucosyltransferase activity
Acropora_001850,reverse transcriptase
Acropora_001869,Dolichol phosphate-mannose biosynthesis regulatory protein
Acropora_001882,NA
Acropora_001910,NA
Acropora_001911,NA
Acropora_001915,leucine-rich repeat and IQ domain-containing protein 3
Acropora_001925,U2 snRNA binding
Acropora_001930,anandamide amidohydrolase activity
Acropora_001934,negative regulation of protein localization to cell cortex
Acropora_001937,NA
Acropora_001943,NA
Acropora_001946,lysosomal lumen pH elevation
Acropora_001958,HAD-hyrolase-like
Acropora_001962,Sulfotransferase family
Acropora_001966,TeTratriCopeptide repeat
Acropora_001974,Lysin motif
Acropora_001983,ubiquitin protein ligase binding
Acropora_002011,spinal cord association neuron differentiation
Acropora_002020,endodermal-mesodermal cell signaling
Acropora_002056,DNL zinc finger
Acropora_002060,endoplasmic reticulum calcium ion homeostasis
Acropora_002067,ribosomal large subunit assembly
Acropora_002078,signal peptide processing
Acropora_002082,regulation of acid-sensing ion channel activity
Acropora_002089,NA
Acropora_002098,chromosome 9 open reading frame 78
Acropora_002102,carbohydrate binding
Acropora_002126,ribosomal small subunit assembly
Acropora_002146,mitochondrial translation
Acropora_002152,Major Facilitator Superfamily
Acropora_002157,NA
Acropora_002200,NA
Acropora_002219,DNA repair protein SWI5 homolog
Acropora_002230,"ADAM metallopeptidase with thrombospondin type 1 motif, 18"
Acropora_002233,serotonin receptor activity
Acropora_002238,serotonin receptor activity
Acropora_002269,chondroitin 4-sulfotransferase activity
Acropora_002270,chondroitin 4-sulfotransferase activity
Acropora_002271,acetyl-CoA hydrolase activity
Acropora_002285,ion transport
Acropora_002291,NA
Acropora_002294,NA
Acropora_002295,NA
Acropora_002299,NA
Acropora_002307,NA
Acropora_002331,nicotinamide phosphoribosyltransferase activity
Acropora_002368,double-strand break repair via break-induced replication
Acropora_002372,Modulator
Acropora_002377,protein modification by small protein conjugation
Acropora_002383,"Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Can reduce H(2)O(2) and short chain organic, fatty acid, and phospholipid hydroperoxides. Also has phospholipase activity, and can therefore either reduce the oxidized sn-2 fatty acyl grup of phospholipids (peroxidase activity) or hydrolyze the sn-2 ester bond of phospholipids (phospholipase activity). These activities are dependent on binding to phospholipids at acidic pH and to oxidized phospholipds at cytosolic pH. Plays a role in cell protection against oxidative stress by detoxifying peroxides and in phospholipid homeostasis"
Acropora_002461,nervous system development
Acropora_002463,serotonin receptor activity
Acropora_002474,Nidogen 1a
Acropora_002488,GTP-Rho binding
Acropora_002504,flavoprotein involved in K transport
Acropora_002536,ankyrin repeat
Acropora_002554,NA
Acropora_002573,NA
Acropora_002587,NA
Acropora_002594,NA
Acropora_002599,NA
Acropora_002657,NMDA receptor synaptonuclear signaling and neuronal migration factor
Acropora_002661,positive regulation of neuron projection development
Acropora_002675,NA
Acropora_002685,NA
Acropora_002702,negative regulation of non-canonical Wnt signaling pathway
Acropora_002713,Belongs to the cytochrome P450 family
Acropora_002716,dolichyldiphosphatase activity
Acropora_002726,NA
Acropora_002731,NA
Acropora_002759,NA
Acropora_002779,regulation of histone H3-K36 trimethylation
Acropora_002784,NA
Acropora_002793,adenosine deaminase-like
Acropora_002814,factor iib
Acropora_002838,72 kDa inositol polyphosphate
Acropora_002845,NA
Acropora_002850,"Glomulin, FKBP associated protein"
Acropora_002862,Regulator of chromosome condensation (RCC1) repeat
Acropora_002899,NA
Acropora_002931,NA
Acropora_002932,NA
Acropora_002977,NA
Acropora_002980,7 transmembrane receptor (rhodopsin family)
Acropora_002991,NA
Acropora_003018,NA
Acropora_003024,Lipopolysaccharide kinase (Kdo/WaaP) family
Acropora_003027,NA
Acropora_003028,NA
Acropora_003040,[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity
Acropora_003043,Universal stress protein family
Acropora_003046,NA
Acropora_003056,Mitogen-activated protein kinase kinase kinase kinase
Acropora_003077,"phosphatidylinositol-3,4-bisphosphate binding"
Acropora_003083,galactosyltransferase activity
Acropora_003096,Domain of unknown function (DUF4513)
Acropora_003097,NA
Acropora_003101,NA
Acropora_003102,Zinc finger protein 106
Acropora_003106,positive regulation of tooth mineralization
Acropora_003189,NA
Acropora_003213,NA
Acropora_003214,NA
Acropora_003216,NA
Acropora_003218,NA
Acropora_003226,RNA binding
Acropora_003228,RNA binding
Acropora_003240,Sorting nexin-20
Acropora_003255,cilium assembly
Acropora_003257,NA
Acropora_003284,NA
Acropora_003290,NA
Acropora_003296,"Coagulation factor 5/8 C-terminal domain, discoidin domain"
Acropora_003304,histamine-induced gastric acid secretion
Acropora_003307,Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily
Acropora_003310,NA
Acropora_003329,peptidase inhibitor activity
Acropora_003331,positive regulation of epithelial to mesenchymal transition
Acropora_003346,tetratricopeptide repeat
Acropora_003351,protein phosphatase regulator activity
Acropora_003361,NA
Acropora_003362,acetylesterase activity
Acropora_003367,positive regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway
Acropora_003377,motif protein 4B
Acropora_003406,Transmembrane protein 55A
Acropora_003414,L-fucose kinase
Acropora_003463,NA
Acropora_003464,DNA replication factor
Acropora_003475,NA
Acropora_003483,PFAM Appr-1-p processing domain protein
Acropora_003484,NA
Acropora_003507,Reverse transcriptase (RNA-dependent DNA polymerase)
Acropora_003532,heme binding
Acropora_003542,tRNA threonylcarbamoyladenosine metabolic process
Acropora_003544,NA
Acropora_003567,NA
Acropora_003580,Protein tyrosine kinase
Acropora_003581,NA
Acropora_003585,Protein tyrosine kinase
Acropora_003624,NA
Acropora_003632,Membrane-bound transcription factor
Acropora_003635,acetylation-dependent protein binding
Acropora_003638,G-protein coupled receptor activity
Acropora_003645,A Receptor for Ubiquitination Targets
Acropora_003659,positive regulation of myosin-light-chain-phosphatase activity
Acropora_003664,Methionine gamma-lyase
Acropora_003667,positive regulation of natural killer cell degranulation
Acropora_003688,glucan metabolic process
Acropora_003693,positive regulation of epithelial to mesenchymal transition
Acropora_003696,Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
Acropora_003706,arachidonate 5-lipoxygenase activity
Acropora_003707,arachidonate 5-lipoxygenase
Acropora_003710,NA
Acropora_003717,Belongs to the class I-like SAM-binding methyltransferase superfamily. mRNA cap 0 methyltransferase family
Acropora_003724,positive regulation of centriole elongation
Acropora_003736,Appr-1'-p processing enzyme
Acropora_003739,zinc ion binding
Acropora_003749,NA
Acropora_003759,Belongs to the bZIP family
Acropora_003776,Belongs to the DHHC palmitoyltransferase family
Acropora_003785,NA
Acropora_003786,NA
Acropora_003787,iron-sulfur cluster assembly
Acropora_003836,mitotic G2 DNA damage checkpoint
Acropora_003857,Interferon-inducible GTPase
Acropora_003872,TBC LysM-associated domain containing 1
Acropora_003884,"Splicing factor 3b, subunit 3"
Acropora_003890,NA
Acropora_003905,NA
Acropora_003930,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
Acropora_003931,-
Acropora_003969,NA
Acropora_003976,protein serine/threonine kinase activity
Acropora_003986,zinc ion binding
Acropora_003987,gamma-aminobutyric acid:sodium symporter activity
Acropora_003989,zinc ion binding
Acropora_004005,modification-dependent protein catabolic process
Acropora_004015,trimming of terminal mannose on B branch
Acropora_004017,asparagine catabolic process via L-aspartate
Acropora_004019,structural molecule activity
Acropora_004038,NA
Acropora_004043,Charged multivesicular body protein
Acropora_004047,NA
Acropora_004048,regulation of RNA splicing
Acropora_004057,NA
Acropora_004087,negative regulation of transcription by RNA polymerase II
Acropora_004093,NA
Acropora_004111,WD repeat-containing protein 88
Acropora_004121,Belongs to the peptidase C19 family
Acropora_004130,Pyruvate Dehydrogenase Phosphatase Regulatory subunit
Acropora_004140,protein modification by small protein conjugation
Acropora_004149,RNA binding
Acropora_004168,rRNA processing
Acropora_004188,SUMO activating enzyme activity
Acropora_004192,NA
Acropora_004213,protein-cysteine S-acyltransferase activity
Acropora_004215,NA
Acropora_004217,sperm flagellum movement
Acropora_004219,NA
Acropora_004243,NA
Acropora_004247,peptidase M20
Acropora_004271,NA
Acropora_004285,NA
Acropora_004335,reverse transcriptase
Acropora_004372,NA
Acropora_004374,NA
Acropora_004380,NA
Acropora_004400,Interferon-inducible GTPase 5-like
Acropora_004407,positive regulation of ruffle assembly
Acropora_004423,"RAB30, member RAS oncogene family"
Acropora_004437,NA
Acropora_004442,NA
Acropora_004443,NA
Acropora_004459,prolyl 4-hydroxylase
Acropora_004464,prolyl 4-hydroxylase
Acropora_004474,cilium assembly
Acropora_004480,NA
Acropora_004491,RmlD substrate binding domain
Acropora_004505,nucleosome assembly
Acropora_004524,regulation of nuclear pre-mRNA
Acropora_004538,NA
Acropora_004543,S-adenosylhomocysteine catabolic process
Acropora_004574,negative regulation of SNARE complex assembly
Acropora_004589,serine threonine-protein kinase PRP4 homolog
Acropora_004594,Jumonji and AT-rich interaction domain containing 2
Acropora_004626,NA
Acropora_004635,structural constituent of ribosome
