gene,annot,lfc,KOG,nseqs,delta.rank,pval,padj
Acropora_000001,"ATP-dependent microtubule motor activity, minus-end-directed",-0.45902921872427677,Cytoskeleton,281,-982,9.413816283877e-7,5.883635177423125e-6
Acropora_000008,aminopeptidase activity,0.11932773802583678,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000012,Snurportin1,-0.449466351244163,RNA processing and modification,389,-511,0.00282946781439364,0.007859632817760111
Acropora_000016,G-protein coupled receptor activity,0.4534880496585492,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000018,G-protein coupled receptor activity,-0.6005823094801115,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000019,G-protein coupled receptor activity,-0.062375582670376906,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000020,protein targeting to mitochondrion,0.6070365039492265,"Intracellular trafficking, secretion, and vesicular transport",500,152,0.316975913467442,0.46614104921682653
Acropora_000023,RNA polymerase II CTD heptapeptide repeat kinase activity,-0.41401048315600575,Signal transduction mechanisms,1514,-665,3.52408067888373e-13,8.810201697209325e-12
Acropora_000024,NUDIX domain,-0.4767346963340024,"Replication, recombination and repair",370,315,0.0719330765964038,0.11239543218188094
Acropora_000026,Frataxin,0.3100103060876419,Inorganic ion transport and metabolism,289,-423,0.0322865119493812,0.05765448562389501
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,-0.023133851255058426,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000029,positive regulation of low-density lipoprotein particle receptor biosynthetic process,-0.2259353604749589,RNA processing and modification,389,-511,0.00282946781439364,0.007859632817760111
Acropora_000030,3-hydroxy-3-methylglutaryl-coenzyme A reductase,0.7264789012711097,Lipid transport and metabolism,292,764,1.0099169830145e-4,5.0495849150725e-4
Acropora_000031,microtubule nucleation by interphase microtubule organizing center,-0.09765406974197025,Cytoskeleton,281,-982,9.413816283877e-7,5.883635177423125e-6
Acropora_000032,unfolded protein binding,0.5631434114728091,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000033,B cell differentiation,-0.33832493810596415,Transcription,698,-315,0.0149965226461616,0.028839466627233846
Acropora_000036,intermembrane sphingolipid transfer activity,0.22480889361256684,Signal transduction mechanisms,1514,-665,3.52408067888373e-13,8.810201697209325e-12
Acropora_000038,iron ion binding,1.028148123165053,"Secondary metabolites biosynthesis, transport and catabolism",231,728,9.49157187073093e-4,0.0029661162096034153
Acropora_000039,Ariadne RBR E3 ubiquitin protein ligase 1,0.08310634808520856,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000040,protein K48-linked ubiquitination,-0.5055562366839422,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000041,Galactose-1-phosphate uridylyltransferase,-0.13169021025239033,Energy production and conversion,266,1449,1.8787786285842e-12,2.3484732857302502e-11
Acropora_000048,mRNA 3'-end processing,-0.35673502199054374,RNA processing and modification,389,-511,0.00282946781439364,0.007859632817760111
Acropora_000049,Threonyl and Alanyl tRNA synthetase second additional domain,0.6049137258433438,"Translation, ribosomal structure and biogenesis",397,855,4.4687995957209e-7,3.7239996631007503e-6
Acropora_000055,Sugar transporter,0.32178464834612885,"Intracellular trafficking, secretion, and vesicular transport",500,152,0.316975913467442,0.46614104921682653
Acropora_000062,Ubiquitin-conjugating enzyme,0.17020106194228402,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000069,regulation of canonical Wnt signaling pathway involved in osteoblast differentiation,0.29557549718087717,"Replication, recombination and repair",370,315,0.0719330765964038,0.11239543218188094
Acropora_000072,positive regulation of cilium movement,-0.42645530102777396,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000079,major facilitator superfamily,-0.7073439170967153,Carbohydrate transport and metabolism,397,578,6.36380831651959e-4,0.002272788684471282
Acropora_000083,major facilitator superfamily,0.05409943744298639,Carbohydrate transport and metabolism,397,578,6.36380831651959e-4,0.002272788684471282
Acropora_000086,leucine-rich repeat serine threonine-protein kinase,-0.1522959752661786,Signal transduction mechanisms,1514,-665,3.52408067888373e-13,8.810201697209325e-12
Acropora_000090,protein tyrosine phosphatase activity,-1.0420206389842854,Signal transduction mechanisms,1514,-665,3.52408067888373e-13,8.810201697209325e-12
Acropora_000092,"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity",0.047532287297506144,Carbohydrate transport and metabolism,397,578,6.36380831651959e-4,0.002272788684471282
Acropora_000094,"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity",0.90480621203174,Carbohydrate transport and metabolism,397,578,6.36380831651959e-4,0.002272788684471282
Acropora_000095,"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity",-0.36855728097315094,Carbohydrate transport and metabolism,397,578,6.36380831651959e-4,0.002272788684471282
Acropora_000098,DNA RNA polymerases superfamily protein,-0.058931304315384334,Lipid transport and metabolism,292,764,1.0099169830145e-4,5.0495849150725e-4
Acropora_000101,Potassium sodium hyperpolarization-activated cyclic nucleotide-gated channel,-0.013309907499395842,Inorganic ion transport and metabolism,289,-423,0.0322865119493812,0.05765448562389501
Acropora_000102,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,0.6733769679779904,Energy production and conversion,266,1449,1.8787786285842e-12,2.3484732857302502e-11
Acropora_000106,radial pattern formation,0.5860521177533651,Transcription,698,-315,0.0149965226461616,0.028839466627233846
