gene,annot,lfc,KOG,nseqs,delta.rank,pval,padj
Acropora_000001,"ATP-dependent microtubule motor activity, minus-end-directed",-0.45902921872427677,Cytoskeleton,281,-641,0.00137460586400413,0.005452632358741964
Acropora_000008,aminopeptidase activity,0.11932773802583678,"Posttranslational modification, protein turnover, chaperones",1245,235,0.0179754218808893,0.04993172744691472
Acropora_000012,Snurportin1,-0.449466351244163,RNA processing and modification,389,-513,0.00268922799956125,0.008403837498628906
Acropora_000016,G-protein coupled receptor activity,0.4534880496585492,"Posttranslational modification, protein turnover, chaperones",1245,235,0.0179754218808893,0.04993172744691472
Acropora_000018,G-protein coupled receptor activity,-0.6005823094801115,"Posttranslational modification, protein turnover, chaperones",1245,235,0.0179754218808893,0.04993172744691472
Acropora_000019,G-protein coupled receptor activity,-0.062375582670376906,"Posttranslational modification, protein turnover, chaperones",1245,235,0.0179754218808893,0.04993172744691472
Acropora_000020,protein targeting to mitochondrion,0.6070365039492265,"Intracellular trafficking, secretion, and vesicular transport",500,607,6.14999887718626e-5,3.843749298241413e-4
Acropora_000023,RNA polymerase II CTD heptapeptide repeat kinase activity,-0.41401048315600575,Signal transduction mechanisms,1514,-420,4.36028660559315e-6,3.6335721713276256e-5
Acropora_000024,NUDIX domain,-0.4767346963340024,"Replication, recombination and repair",370,-225,0.200015826384979,0.2941409211543809
Acropora_000026,Frataxin,0.3100103060876419,Inorganic ion transport and metabolism,289,-355,0.0720288892747744,0.15006018598911333
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,-0.023133851255058426,"Posttranslational modification, protein turnover, chaperones",1245,235,0.0179754218808893,0.04993172744691472
Acropora_000029,positive regulation of low-density lipoprotein particle receptor biosynthetic process,-0.2259353604749589,RNA processing and modification,389,-513,0.00268922799956125,0.008403837498628906
Acropora_000030,3-hydroxy-3-methylglutaryl-coenzyme A reductase,0.7264789012711097,Lipid transport and metabolism,292,334,0.0892726104974609,0.15941537588832302
Acropora_000031,microtubule nucleation by interphase microtubule organizing center,-0.09765406974197025,Cytoskeleton,281,-641,0.00137460586400413,0.005452632358741964
Acropora_000032,unfolded protein binding,0.5631434114728091,"Posttranslational modification, protein turnover, chaperones",1245,235,0.0179754218808893,0.04993172744691472
Acropora_000033,B cell differentiation,-0.33832493810596415,Transcription,698,-455,4.43249806202545e-4,0.002216249031012725
Acropora_000036,intermembrane sphingolipid transfer activity,0.22480889361256684,Signal transduction mechanisms,1514,-420,4.36028660559315e-6,3.6335721713276256e-5
Acropora_000038,iron ion binding,1.028148123165053,"Secondary metabolites biosynthesis, transport and catabolism",231,-35,0.87213238531303094,0.9479699840359032
Acropora_000039,Ariadne RBR E3 ubiquitin protein ligase 1,0.08310634808520856,"Posttranslational modification, protein turnover, chaperones",1245,235,0.0179754218808893,0.04993172744691472
Acropora_000040,protein K48-linked ubiquitination,-0.5055562366839422,"Posttranslational modification, protein turnover, chaperones",1245,235,0.0179754218808893,0.04993172744691472
Acropora_000041,Galactose-1-phosphate uridylyltransferase,-0.13169021025239033,Energy production and conversion,266,1364,3.34259203231775e-11,8.356480080794375e-10
Acropora_000048,mRNA 3'-end processing,-0.35673502199054374,RNA processing and modification,389,-513,0.00268922799956125,0.008403837498628906
Acropora_000049,Threonyl and Alanyl tRNA synthetase second additional domain,0.6049137258433438,"Translation, ribosomal structure and biogenesis",397,1067,2.9346033659799e-10,3.668254207474875e-9
Acropora_000055,Sugar transporter,0.32178464834612885,"Intracellular trafficking, secretion, and vesicular transport",500,607,6.14999887718626e-5,3.843749298241413e-4
Acropora_000062,Ubiquitin-conjugating enzyme,0.17020106194228402,"Posttranslational modification, protein turnover, chaperones",1245,235,0.0179754218808893,0.04993172744691472
Acropora_000069,regulation of canonical Wnt signaling pathway involved in osteoblast differentiation,0.29557549718087717,"Replication, recombination and repair",370,-225,0.200015826384979,0.2941409211543809
Acropora_000072,positive regulation of cilium movement,-0.42645530102777396,"Posttranslational modification, protein turnover, chaperones",1245,235,0.0179754218808893,0.04993172744691472
Acropora_000079,major facilitator superfamily,-0.7073439170967153,Carbohydrate transport and metabolism,397,293,0.0833070379837088,0.15941537588832302
Acropora_000083,major facilitator superfamily,0.05409943744298639,Carbohydrate transport and metabolism,397,293,0.0833070379837088,0.15941537588832302
Acropora_000086,leucine-rich repeat serine threonine-protein kinase,-0.1522959752661786,Signal transduction mechanisms,1514,-420,4.36028660559315e-6,3.6335721713276256e-5
Acropora_000090,protein tyrosine phosphatase activity,-1.0420206389842854,Signal transduction mechanisms,1514,-420,4.36028660559315e-6,3.6335721713276256e-5
Acropora_000092,"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity",0.047532287297506144,Carbohydrate transport and metabolism,397,293,0.0833070379837088,0.15941537588832302
Acropora_000094,"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity",0.90480621203174,Carbohydrate transport and metabolism,397,293,0.0833070379837088,0.15941537588832302
Acropora_000095,"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity",-0.36855728097315094,Carbohydrate transport and metabolism,397,293,0.0833070379837088,0.15941537588832302
Acropora_000098,DNA RNA polymerases superfamily protein,-0.058931304315384334,Lipid transport and metabolism,292,334,0.0892726104974609,0.15941537588832302
Acropora_000101,Potassium sodium hyperpolarization-activated cyclic nucleotide-gated channel,-0.013309907499395842,Inorganic ion transport and metabolism,289,-355,0.0720288892747744,0.15006018598911333
Acropora_000102,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,0.6733769679779904,Energy production and conversion,266,1364,3.34259203231775e-11,8.356480080794375e-10
Acropora_000106,radial pattern formation,0.5860521177533651,Transcription,698,-455,4.43249806202545e-4,0.002216249031012725
Acropora_000117,synaptic vesicle budding from presynaptic endocytic zone membrane,-0.130922948133021,"Intracellular trafficking, secretion, and vesicular transport",500,607,6.14999887718626e-5,3.843749298241413e-4
Acropora_000120,Trypsin-like serine protease,-0.07827505094389696,"Posttranslational modification, protein turnover, chaperones",1245,235,0.0179754218808893,0.04993172744691472
Acropora_000137,"RNA phosphodiester bond hydrolysis, exonucleolytic",-0.05029453787689276,"Translation, ribosomal structure and biogenesis",397,1067,2.9346033659799e-10,3.668254207474875e-9
Acropora_000138,serotonin receptor activity,0.4375581155264425,Signal transduction mechanisms,1514,-420,4.36028660559315e-6,3.6335721713276256e-5
Acropora_000141,"D-arabinono-1,4-lactone oxidase",0.15458578446050214,Defense mechanisms,65,280,0.497741074302986,0.6549224661881395
Acropora_000143,lysophospholipase activity,-0.13029938505225483,Lipid transport and metabolism,292,334,0.0892726104974609,0.15941537588832302
Acropora_000161,Vacuolar Protein,-0.11138890478511063,"Intracellular trafficking, secretion, and vesicular transport",500,607,6.14999887718626e-5,3.843749298241413e-4
Acropora_000162,Notch homolog 2,0.04111380102721798,Signal transduction mechanisms,1514,-420,4.36028660559315e-6,3.6335721713276256e-5
