gene,annot
Acropora_000121,NA
Acropora_000233,endopeptidase inhibitor activity
Acropora_000238,"Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling"
Acropora_000330,NA
Acropora_000616,NA
Acropora_001104,guanine nucleotide-releasing factor
Acropora_001329,Decapping mRNA 2
Acropora_001432,regulation of mitotic cell cycle
Acropora_001767,TCDD-inducible poly(ADP-ribose) polymerase
Acropora_001916,NA
Acropora_002036,Heparan-alpha-glucosaminide N-acetyltransferase
Acropora_002262,sulfuric ester hydrolase activity
Acropora_002602,NA
Acropora_002633,NA
Acropora_002975,NA
Acropora_003229,NA
Acropora_004232,structural constituent of cuticle
Acropora_004573,Malonyl CoA ACP acyltransferase (mitochondrial)
Acropora_004685,NA
Acropora_004943,solute carrier family 17
Acropora_005697,Belongs to the peptidase S1 family
Acropora_006448,plasma membrane repair
Acropora_006515,huntingtin
Acropora_006587,homeobox
Acropora_006911,osteoblast proliferation
Acropora_006973,"Fanconi anemia, complementation group I"
Acropora_007830,NA
Acropora_007877,NA
Acropora_008654,Tti2 family
Acropora_008914,Peptidyl-prolyl cis-trans isomerase
Acropora_009045,NA
Acropora_009210,NA
Acropora_009271,NA
Acropora_009330,U1 snRNA 3'-end processing
Acropora_010102,NA
Acropora_010152,IgLON family member 5
Acropora_010545,positive regulation of amyloid-beta formation
Acropora_010600,NA
Acropora_010662,NA
Acropora_010771,regulation of cell proliferation involved in mesonephros development
Acropora_010783,Green fluorescent protein
Acropora_010900,NA
Acropora_011194,"Linear amide C-N hydrolases, choloylglycine hydrolase family"
Acropora_011311,apoptotic mitochondrial changes
Acropora_011313,methylmalonyl-CoA mutase activity
Acropora_011393,"Leucine-rich repeats, outliers"
Acropora_011944,MFS_1 like family
Acropora_013112,Secreted protein acidic and rich in cysteine Ca binding region
Acropora_013572,NA
Acropora_013651,NA
Acropora_013696,EF-hand domain pair
Acropora_013717,NA
Acropora_015331,NA
Acropora_015349,serine-pyruvate transaminase activity
Acropora_015577,Subtilase family
Acropora_015612,Belongs to the peptidase M10A family
Acropora_015765,transmembrane receptor protein tyrosine kinase activity
Acropora_015802,tetraterpenoid metabolic process
Acropora_015975,D-glutamate cyclase activity
Acropora_015985,zinc ion binding
Acropora_016031,Calmodulin
Acropora_016186,NA
Acropora_017542,Belongs to the small heat shock protein (HSP20) family
Acropora_017782,NA
Acropora_018113,trans-2-enoyl-CoA reductase
Acropora_018161,Fibrosin-1-like
Acropora_018168,glutathione hydrolase activity
Acropora_018329,NA
Acropora_018356,NA
Acropora_018497,ethanolaminephosphotransferase activity
Acropora_019115,NA
Acropora_019192,EP4 subtype prostaglandin E2 receptor binding
Acropora_019471,nitric-oxide synthase activity
Acropora_019735,NA
Acropora_019879,phosphoprotein phosphatase activity
Acropora_019972,NA
Acropora_020019,NAADP-sensitive calcium-release channel activity
Acropora_020070,phosphatidylserine decarboxylase activity
Acropora_020185,NA
Acropora_020189,NA
Acropora_020194,NA
Acropora_020574,NA
Acropora_020832,Mediates cleavage of dimethlysulfonioproprionate (DMSP) into dimethyl sulfide (DMS) and acrylate. DMS is the principal form by which sulfur is transported from oceans to the atmosphere and is a key component of the ocean sulfur cycle
Acropora_021802,pre-mRNA 3'-splice site binding
Acropora_022154,NA
Acropora_022469,mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity
Acropora_022536,belongs to the actin family
Acropora_022711,motor activity
Acropora_023112,Histone H2A
Acropora_023486,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family
Acropora_023530,sequence-specific DNA binding
Acropora_023641,fibroblast growth factor-activated receptor activity
Acropora_024044,-
Acropora_024135,BTB/POZ domain
Acropora_025279,NA
Acropora_025640,NA
Acropora_026358,adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Acropora_026447,adenylate cyclase-activating G-protein coupled receptor signaling pathway
Acropora_026580,zinc ion binding
Acropora_026655,NA
Acropora_027347,Zinc finger protein
Acropora_027727,NA
Acropora_028264,regulation of actin phosphorylation
Acropora_028277,14-3-3 protein binding
Acropora_028480,helix loop helix domain
Acropora_029501,Potential Monad-binding region of RPAP3
Acropora_029524,NA
Acropora_029775,NA
Acropora_029821,regulation of ARF protein signal transduction
Acropora_029869,Spindle assembly abnormal protein 6 homolog
Acropora_029885,Calponin homology domain
Acropora_029997,NA
Acropora_031195,Coiled-coil domain-containing protein 24 family
Acropora_031212,peroxisomal long-chain fatty acid import
Acropora_031419,FGGY carbohydrate kinase
Acropora_032976,NA
