gene,annot,KOG
Acropora_000030,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Lipid transport and metabolism
Acropora_000146,NA,NA
Acropora_000151,Tektin family,Function Unknown
Acropora_000152,NA,NA
Acropora_000184,Cytochrome c oxidase subunit Va,Energy production and conversion
Acropora_000242,lymphoid tissue lymphoma translocation,Signal transduction mechanisms
Acropora_000263,Stimulated by retinoic acid gene 6 protein homolog,Transcription
Acropora_000315,NA,NA
Acropora_000331,protein auto-ADP-ribosylation,Carbohydrate transport and metabolism
Acropora_000501,Homer protein homolog,Function Unknown
Acropora_000509,protein disulfide isomerase activity,"Posttranslational modification, protein turnover, chaperones"
Acropora_000511,NA,NA
Acropora_000519,NA,NA
Acropora_000629,negative regulation of negative chemotaxis,Amino acid transport and metabolism
Acropora_000719,NA,NA
Acropora_000764,NA,NA
Acropora_000851,Myb/SANT-like DNA-binding domain,"Posttranslational modification, protein turnover, chaperones"
Acropora_000962,NA,NA
Acropora_001182,NA,NA
Acropora_001254,synaptic vesicle cytoskeletal transport,"Intracellular trafficking, secretion, and vesicular transport"
Acropora_001296,cell surface receptor signaling pathway,Function Unknown
Acropora_001323,phosphatidylserine metabolic process,Function Unknown
Acropora_001502,NA,NA
Acropora_001581,NA,NA
Acropora_001602,Belongs to the heat shock protein 70 family,"Posttranslational modification, protein turnover, chaperones"
Acropora_001793,It is involved in the biological process described with,"Posttranslational modification, protein turnover, chaperones"
Acropora_001853,NA,NA
Acropora_002034,Calcium-binding protein,Signal transduction mechanisms
Acropora_002118,sequence-specific DNA binding,Transcription
Acropora_002137,threonine-type endopeptidase activity,"Posttranslational modification, protein turnover, chaperones"
Acropora_002140,DNA polymerase epsilon subunit 3,Transcription
Acropora_002205,Heme binding protein 2,Function Unknown
Acropora_002470,positive regulation of presynaptic membrane organization,Signal transduction mechanisms
Acropora_002518,Trypsin-like serine protease,"Posttranslational modification, protein turnover, chaperones"
Acropora_002614,SNAP receptor activity,"Intracellular trafficking, secretion, and vesicular transport"
Acropora_002620,Dienelactone hydrolase family,"Secondary metabolites biosynthesis, transport and catabolism"
Acropora_002679,NA,NA
Acropora_002712,NA,NA
Acropora_002796,Rho guanine nucleotide exchange factor,Signal transduction mechanisms
Acropora_003330,NA,NA
Acropora_003418,adenylate cyclase-activating G-protein coupled receptor signaling pathway,Signal transduction mechanisms
Acropora_003465,negative regulation of renal output by angiotensin,Inorganic ion transport and metabolism
Acropora_003492,Cystatin-like domain,Function Unknown
Acropora_003575,G-protein beta/gamma-subunit complex binding,Signal transduction mechanisms
Acropora_003640,calretinin,Signal transduction mechanisms
Acropora_003641,NA,NA
