gene,lpv_Treated_vs_Untreated,lpv_Untreated_vs_Initial,annot,KOG
Acropora_000021,2.9996169966384953,-1.7243978716381023,structural molecule activity,structural molecule activity
Acropora_000030,-2.738663886418828,11.363108105238645,3-hydroxy-3-methylglutaryl-coenzyme A reductase,3-hydroxy-3-methylglutaryl-coenzyme A reductase
Acropora_000033,2.011823703911968,-4.955347578822484,B cell differentiation,B cell differentiation
Acropora_000036,-1.0224575084550565,1.853946052345943,intermembrane sphingolipid transfer activity,intermembrane sphingolipid transfer activity
Acropora_000049,-3.5294993406768396,9.949591525673581,Threonyl and Alanyl tRNA synthetase second additional domain,Threonyl and Alanyl tRNA synthetase second additional domain
Acropora_000054,-2.2717385425285195,7.081777830246089,NA,NA
Acropora_000056,-1.6830587332210105,1.5565509060277456,NA,NA
Acropora_000059,-1.1665659205156618,5.8284994910323915,NA,NA
Acropora_000087,3.374254667269099,-5.060564187367188,positive regulation of maintenance of mitotic sister chromatid cohesion,positive regulation of maintenance of mitotic sister chromatid cohesion
Acropora_000114,-1.1908924687312359,2.4210744145426646,NA,NA
Acropora_000140,3.3664210337763905,-4.660542691871182,Coiled-coil and C2,Coiled-coil and C2
Acropora_000146,-2.641737309253442,10.589032192313054,NA,NA
Acropora_000147,-6.389305888343196,8.298030457582579,NA,NA
Acropora_000151,3.724336972504151,-16.018293564369493,Tektin family,Tektin family
Acropora_000152,2.0952231209380945,-19.355947014945972,NA,NA
Acropora_000153,1.0184281153317438,-3.853568009988771,NA,NA
Acropora_000155,-2.3343915305792247,1.9807609512280078,SUN domain containing ossification factor,SUN domain containing ossification factor
Acropora_000184,-1.417084566159661,8.389993365460034,Cytochrome c oxidase subunit Va,Cytochrome c oxidase subunit Va
Acropora_000196,1.0099643666647955,-5.946033124150825,NA,NA
Acropora_000208,1.0665484683233986,-1.0369032816130752,NA,NA
Acropora_000215,1.8215801130035796,-3.4419605065679,aldehyde dehydrogenase (NAD) activity,aldehyde dehydrogenase (NAD) activity
Acropora_000237,3.9920387785379035,-7.9309059661495755,Histone H2A,Histone H2A
Acropora_000238,1.311560466945075,-1.2750121350494479,"Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling","Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling"
Acropora_000239,2.237427012444334,-6.012777465890468,Core histone H2A/H2B/H3/H4,Core histone H2A/H2B/H3/H4
Acropora_000242,-2.964537731829304,14.253739455840886,lymphoid tissue lymphoma translocation,lymphoid tissue lymphoma translocation
Acropora_000258,2.8517470093333643,-2.399014839079955,NA,NA
Acropora_000262,1.0617198528804517,-3.2448907596360788,Failed axon connections homolog,Failed axon connections homolog
Acropora_000263,2.0409997386702647,-11.801166617174308,Stimulated by retinoic acid gene 6 protein homolog,Stimulated by retinoic acid gene 6 protein homolog
Acropora_000287,1.1322925467455005,-1.2131114058637675,Hydrolyzes the sphingolipid ceramide into sphingosine and free fatty acid,Hydrolyzes the sphingolipid ceramide into sphingosine and free fatty acid
Acropora_000291,-3.577835861723984,2.118213081650924,negative chemotaxis,negative chemotaxis
Acropora_000315,-9.741206303338595,7.517346131905555,NA,NA
Acropora_000331,-2.3434534880654816,15.752057115406856,protein auto-ADP-ribosylation,protein auto-ADP-ribosylation
Acropora_000402,1.5171850639451938,-5.285557440272335,mitotic cell cycle checkpoint,mitotic cell cycle checkpoint
Acropora_000437,-3.4277998586859115,5.533086832733151,La ribonucleoprotein domain family member 6,La ribonucleoprotein domain family member 6
Acropora_000444,-1.9592056741142483,3.5370155545189688,Sodium/calcium exchanger protein,Sodium/calcium exchanger protein
Acropora_000498,-1.2304714218277957,8.096712718513903,structural constituent of ribosome,structural constituent of ribosome
Acropora_000501,1.4412886562541662,-7.234015312988124,Homer protein homolog,Homer protein homolog
Acropora_000509,-13.662746958682964,1.7629988833448857,protein disulfide isomerase activity,protein disulfide isomerase activity
Acropora_000511,3.566181084103517,-11.252258302588729,NA,NA
Acropora_000519,-1.8352906051969953,9.947918445689393,NA,NA
Acropora_000546,1.3344864383462134,-2.212809090783393,NA,NA
Acropora_000570,1.2779350343461853,-1.6702026237210492,positive regulation of transcription by RNA polymerase II,positive regulation of transcription by RNA polymerase II
Acropora_000582,-1.6953652780647945,4.510106495094916,NA,NA
Acropora_000628,1.4163263808625215,-1.4827623712327016,NA,NA
Acropora_000629,3.0763337756805287,-13.056276966852217,negative regulation of negative chemotaxis,negative regulation of negative chemotaxis
Acropora_000651,1.072651988352053,-1.4321763837195054,betaine-homocysteine S-methyltransferase activity,betaine-homocysteine S-methyltransferase activity
Acropora_000719,-1.5667826392929027,13.338528226850018,NA,NA
Acropora_000724,2.9996169966384953,-1.7724438459612086,NA,NA
Acropora_000725,-1.3435999397227782,5.078351694488488,NA,NA
Acropora_000736,1.5263907726866448,-3.9652305209534298,regulation of nucleic acid-templated transcription,regulation of nucleic acid-templated transcription
Acropora_000748,-1.3201000512305894,4.627186357520294,negative regulation of smooth muscle cell differentiation,negative regulation of smooth muscle cell differentiation
Acropora_000750,1.1959870898119613,-2.316362458470335,negative regulation of smooth muscle cell differentiation,negative regulation of smooth muscle cell differentiation
Acropora_000754,2.693536894777531,-5.0161592931378935,negative regulation of smooth muscle cell differentiation,negative regulation of smooth muscle cell differentiation
Acropora_000755,3.444205477695422,-4.87433180262204,interkinetic nuclear migration,interkinetic nuclear migration
Acropora_000757,-1.4912517184783631,2.2404469647309977,calcium ion binding,calcium ion binding
Acropora_000759,-1.1736901181031958,5.981611384457428,regulation of proteasomal ubiquitin-dependent protein catabolic process,regulation of proteasomal ubiquitin-dependent protein catabolic process
Acropora_000761,1.2221008421231916,-1.0623718185152724,"chromatin assembly factor 1, subunit A","chromatin assembly factor 1, subunit A"
Acropora_000764,3.782090092917207,-22.45684962636883,NA,NA
Acropora_000832,3.1577284747721266,-8.457947766417632,NA,NA
Acropora_000851,-1.4778834576982132,6.808062295969702,Myb/SANT-like DNA-binding domain,Myb/SANT-like DNA-binding domain
Acropora_000962,1.4884109781934491,-12.371494896538662,NA,NA
Acropora_000981,1.0357568882009958,-7.42148572512811,Ras GTPase-activating-like protein IQGAP1,Ras GTPase-activating-like protein IQGAP1
