Acropora_000363	negative regulation of non-canonical Wnt signaling pathway
Acropora_021734	thioesterase binding
Acropora_008889	potassium voltage-gated channel
Acropora_023284	fibroblast growth factor-activated receptor activity
Acropora_033599	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction
Acropora_023976	NAD-dependent histone deacetylase activity (H4-K16 specific)
Acropora_008228	protein localization to phagophore assembly site
Acropora_010899	metalloendopeptidase activity
Acropora_022804	positive regulation of lung ciliated cell differentiation
Acropora_014185	fibroblast growth factor-activated receptor activity
Acropora_000663	ligand-gated sodium channel activity
Acropora_020121	RNA binding motif protein 19
Acropora_016356	Si dkey-121j17.6
Acropora_000456	actin binding
Acropora_013425	positive regulation of rRNA processing
Acropora_010375	PHR domain
Acropora_024417	actin filament severing
Acropora_020434	proteasome-activating ATPase activity
Acropora_027916	Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane. SRP9 together with SRP14 and the Alu portion of the SRP RNA, constitutes the elongation arrest domain of SRP. The complex of SRP9 and SRP14 is required for SRP RNA binding
Acropora_005400	V-crk avian sarcoma virus CT10 oncogene
Acropora_019907	positive regulation of DNA-directed DNA polymerase activity
Acropora_029516	Belongs to the ligand-gated ion channel (TC 1.A.9) family
Acropora_34379	centriole replication
Acropora_026151	ubiquitin conjugating enzyme binding
Acropora_019897	peptidase inhibitor activity
Acropora_014002	G-protein coupled receptor activity
Acropora_018217	Receptor for arginine vasopressin. The activity of this receptor is mediated by G proteins which activate a phosphatidyl- inositol-calcium second messenger system
Acropora_009391	magnesium ion transmembrane transporter activity
Acropora_020633	sequence-specific DNA binding
Acropora_027289	HCLS1 binding protein 3
Acropora_005797	positive regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment
Acropora_022264	Defective in cullin neddylation 1 domain containing
Acropora_014795	DDE superfamily endonuclease
Acropora_34125	Mitogen-activated protein kinase kinase kinase 19
Acropora_031214	metalloendopeptidase activity
Acropora_015927	ubiquitin-protein transferase activity
Acropora_010096	Divergent CRAL/TRIO domain
Acropora_001842	gamma-butyrobetaine dioxygenase activity
Acropora_017572	Helix-turn-helix of DDE superfamily endonuclease
Acropora_019900	Golgi-associated plant pathogenesis-related protein 1-like
Acropora_022224	Nucleoside diphosphate kinase
Acropora_014815	Family with sequence similarity 46, member
Acropora_014156	fibroblast growth factor-activated receptor activity
Acropora_031675	-
Acropora_029163	Ribonuclease H protein
Acropora_026450	dyslexia-associated protein
Acropora_006528	succinate-CoA ligase (GDP-forming) activity
